HD 211403 b,1760.76937
HD 211810 b,212.9461
HD 211970 b,13
HD 212301 b,162.0933
HD 212771 b,759.6137
HD 213472 b,1112.39942
HD 213519 b,9.21702
HD 213885 c,19.95
HD 21411 b,65.9
HD 215152 b,1.819
HD 215152 c,1.72
HD 215152 d,2.801
HD 215152 e,2.877
HD 215497 b,6.3566
HD 216435 b,400.4
HD 216520 b,10.26
HD 216520 c,9.44
HD 216536 b,333.7215
HD 216770 b,181.1631
HD 21693 b,8.23
HD 21693 c,17.37
HD 217107 b,413.179
HD 217107 c,826.32
HD 217786 c,7.31005
HD 218566 b,63.566
HD 219134 g,10.80622
HD 219134 h,108.0622
HD 219139 b,247.90616
HD 219415 b,317.83
HD 219828 b,19.0697
HD 220074 b,5288.6912
HD 220197 b,63.566
HD 220773 b,460.8
HD 220842 b,1010.6994
HD 221287 b,982.05
HD 221585 b,511.7063
HD 222076 b,495.8148
HD 222582 b,2660.2371
HD 224693 b,222.481
HD 22496 b,5.57
HD 22532 b,673.79622
HD 22781 b,4338.2
HD 23079 b,829.5363
HD 23127 b,485.32641
HD 231701 b,359.1479
HD 233604 b,2089.644
HD 233832 b,565.7374
HD 238090 b,6.89
HD 238914 b,1906.98
HD 240210 b,1655.82
HD 240237 b,5050.3187
HD 24040 b,1226.8238
HD 24040 c,63.88351
HD 24064 b,4096.8287
HD 24085 b,11.8
HD 25171 b,290.81445
HD 25723 b,794.57102
HD 25912 b,38.13941
HD 2638 b,133.4886
HD 26965 b,8.47
HD 27442 b,495.8
HD 27894 b,196.73578
HD 27894 c,51.48846
HD 27969 b,1525.57635
HD 28185 b,1855.16441
HD 28192 b,99.79812
HD 285507 b,311.4734
HD 285968 b,8.4
HD 28678 b,490.09386
HD 290327 b,772.3269
HD 29399 b,498.9906
HD 2952 b,284.77425
HD 30669 b,149.37
HD 30856 b,491.68301
HD 31253 b,197.0546
HD 31527 b,10.47
HD 31527 c,14.16
HD 31527 d,11.82
HD 3167 d,4.33
HD 3167 e,8.41
HD 32518 b,905.49313
HD 330075 b,152.5584
HD 331093 b,476.74261
HD 33142 b,400.46379
HD 33142 c,282.86728
HD 33142 d,63.56568
HD 33283 b,104.56607
HD 33564 b,2892.1
HD 33844 b,638.8383
HD 33844 c,556.2025
HD 34445 b,260.6206
HD 34445 c,53.5
HD 34445 d,30.7
HD 34445 e,16.8
HD 34445 f,37.9
HD 34445 g,120.6
HD 35759 b,1195.0408
HD 360 b,238.37131
HD 36384 b,2097.66749
HD 3651 b,72.46524
HD 37124 b,214.53525
HD 37124 c,207.22516
HD 37124 d,221.20968
HD 37605 b,854.9627
HD 37605 c,1013.8777
HD 3765 b,54.98431
HD 38283 b,127.132
